Gas,"NFR/CRF Group",Source,Activity,Units,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"Carbon Dioxide as Carbon",1A1ciii,"Gas production","Natural gas",kilotonne,499.899498203485,440.243638057826,319.503437397994,306.44331337766,298.85408905534,342.136099670742,343.427923401097,344.453789573674,287.721097879161,330.874751586676,323.98847060463,303.530304165664,323.686159900064
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coal,kilotonne,47.6129784503928,38.9702119467984,37.4816120605752,39.3849462434576,40.1699790192768,32.8899109189912,25.661684605788,24.4545115637264,24.698908559972,17.21887928094,22.40305798918,15.2044555543096,19.6702552129792
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",Coke,kilotonne,5.80040372244596,5.8900311387178,10.3054398629456,10.5407897909334,11.6164809269832,11.8914783760863,9.75939210841032,5.79391479865333,1.72713038600128,2.99981974843147,3.6327057298962,3.8438862310421,2.69244825041728
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Fuel oil",kilotonne,48.4209717520661,25.7308641976427,22.5523644244105,11.3613335294118,9.79831987593051,19.545958018526,10.1012397348742,9.95867405405404,12.8985425074184,10.9631734317343,15.3456289694657,18.8619991525423,20.6866551674641
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Gas oil",kilotonne,2.81090426993554,1.92903728974991,1.83392684634737,2.31675093521084,2.75380464962232,3.18439833512913,2.36691832555484,2.25165157327365,2.53446724179314,2.19836389530366,2.11584132055454,2.94552501487842,3.66487936285932
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant",LPG,kilotonne,1.25442383491626,-,1.76160855944663,0.592524683254428,2.37054016202681,1.77765325892034,0.488011261743794,0.599931840876964,0.888448701339836,1.38487067657972,0.888557687955239,0.792704073990127,0.744817095236712
"Carbon Dioxide as Carbon",1A2a,"Iron and steel - combustion plant","Natural gas",kilotonne,327.428513614356,312.370901506693,275.040399005672,288.229390244066,293.709365839824,289.353307462573,246.067791830839,240.719624011118,249.935125942255,249.053602878563,256.905781509393,272.702234307245,269.593641064672
"Carbon Dioxide as Carbon",1A2b,Autogenerators,Coal,kilotonne,426.515542609181,428.054998728549,343.763795320276,11.7216915193657,6.67112893637617,6.4222824302208,5.23352456741004,4.87556373364941,5.35714142810062,4.27176103097624,4.19170927270672,3.28107237005261,3.33322919823649
"Carbon Dioxide as Carbon",1A2b,"Autogeneration - exported to grid",Coal,kilotonne,333.996645579906,335.539483013292,292.900557477795,8.06375978124526,4.53484333034423,5.13668095435142,4.12373150581509,3.60818889539997,4.03601204693995,3.48207776115916,3.33477930793089,2.85738334038791,3.39155074185625
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)",Coal,kilotonne,25.725545799103,24.1059664148951,23.2517551587485,23.2212169985715,25.6520545486587,23.2090017345007,21.0713305221125,19.7664613132835,18.2459642891848,16.4213678602663,14.6575913123118,17.6377654795453,18.5500636940045
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Fuel oil",kilotonne,0.879000000000001,0.9669,0.37797,0.39555,0.40434,0.29007,0.29007,0.290069999999999,0.325230000000001,0.32523,0.29007,0.281279999999999,0.28128
"Carbon Dioxide as Carbon",1A2b,"Non-Ferrous Metal (combustion)","Natural gas",kilotonne,117.500613567069,117.993726616324,123.03335825668,120.303553338691,114.806000965391,165.386376168037,156.645912841207,162.087328661322,170.713979086292,157.805690906055,151.812678256477,154.954453281292,158.511330694622
"Carbon Dioxide as Carbon",1A2c,"Chemicals (combustion)",Coal,kilotonne,236.288844324702,289.880932819608,223.275160736738,163.986630208128,121.219309956024,61.223570877672,56.654744129676,44.499209316408,46.276334289108,46.941948369792,46.580061102624,44.247180683916,42.308498895516
"Carbon Dioxide as Carbon",1A2c,"Chemicals (combustion)","Fuel oil",kilotonne,133.99476,92.62902,22.28265,19.23252,20.35764,24.20766,23.63631,24.1197599999999,25.3503600000001,22.40571,10.45131,12.14778,10.13487
"Carbon Dioxide as Carbon",1A2c,"Chemicals (combustion)","Natural gas",kilotonne,1539.67871428675,1318.35356246447,1305.50199896279,1417.24279558542,1277.35699035816,1224.91624890306,1245.64328689954,1292.91114285191,1351.85927109287,1343.75152148892,1322.65819762164,1334.69954308012,1167.39600259266
"Carbon Dioxide as Carbon",1A2d,"Pulp, Paper and Print (combustion)",Coal,kilotonne,95.6122080451462,92.0635252050708,103.364597780161,106.303225135353,122.797341230656,99.5175554457222,97.1956985596331,78.7957051850876,0.134875531397898,0.134875531397898,0.134875531397898,0.134875531397898,0.134875531397898
"Carbon Dioxide as Carbon",1A2d,"Pulp, Paper and Print (combustion)","Fuel oil",kilotonne,3.59511000000001,3.59511,0.922949999999999,0.92295,0.922949999999999,0.62409,0.62409,0.624089999999999,0.624090000000001,1.06359,0.624090000000001,0.624089999999999,0.624090000000001
"Carbon Dioxide as Carbon",1A2d,"Pulp, Paper and Print (combustion)","Natural gas",kilotonne,630.423127373511,602.808513381419,585.568346719848,631.62796829009,596.120249783554,314.487948809171,301.00709625037,306.421095741923,319.080731511229,304.904702545547,290.292367794408,280.748776215563,258.254500030836
"Carbon Dioxide as Carbon",1A2e,"Food & drink, tobacco (combustion)",Coal,kilotonne,46.8610527342112,49.6998211610955,48.8141676450101,56.8129932242075,61.740680907607,55.719996909187,48.767540387202,55.192116424872,60.1985441699335,49.207257009235,48.0574212503835,42.693901654747,39.122983148997
"Carbon Dioxide as Carbon",1A2e,"Food & drink, tobacco (combustion)","Fuel oil",kilotonne,89.2536600000002,86.17716,77.7123899999999,86.16837,88.9811699999999,62.34747,4.64991,4.19282999999999,34.2897900000001,42.5436,39.86265,14.51229,1.07238
"Carbon Dioxide as Carbon",1A2e,"Food & drink, tobacco (combustion)","Natural gas",kilotonne,1112.73897286112,1114.7385721995,1113.02386050684,1126.17985969056,1089.68481744046,988.353008411603,987.47561862955,1013.66759856542,1056.48723174277,1032.27533920741,1011.67179613811,1043.83856936621,1004.30179030064
"Carbon Dioxide as Carbon",1A2f,"Lime production - non decarbonising",Coal,kilotonne,55.6000501298039,51.7024045608629,27.8448606610538,31.9846985618182,43.0487634654545,40.4519743395978,22.3457220895359,34.3825875811891,31.0300969735589,36.1820369521853,32.4610893178196,37.8626636416298,41.2623929796285
"Carbon Dioxide as Carbon",1A2f,"Lime production - non decarbonising","Natural gas",kilotonne,65.1735286715417,68.5906481801081,69.1251489718152,73.6997209357746,75.7983772733339,73.0934880150648,68.6365882933669,68.7952851326655,69.2588181862044,68.5926320345615,64.2334152917913,70.3892104503169,67.3429267069491
